----
l_I: number of links between disease and dieases of same specialty
l_O: number of links between disease and diseases of different specialty
l_U: number of links between disease and unlabelled diseases

----
disease;specialty;l_I;l_O;l_U
arrhythmias;None;0;0;0
angina;None;0;0;0
parathyroid-disease;None;0;0;0
malignant_brain_tumour_(cancerous);neurology;3;0;0
crohn's_disease;gastroenterology;6;2;5
common-variable-immune-deficiency;None;0;0;0
drug-induced-enteritis;None;0;0;0
food-intolerance;None;0;0;0
food-allergy;None;0;0;0
intestinal-ischemia;None;0;0;0
colorectal_cancer;gastroenterology;3;1;1
anal_cancer;gastroenterology;0;1;4
anal-warts;None;0;0;0
low-rectal-cancer;None;0;0;0
malignant-melanoma;None;0;0;0
ebola_virus_disease;infectious disease;1;0;3
marburg-virus-disease-;None;0;0;0
lassa-fever;None;0;0;0
typhoid-fever;None;0;0;0
prostate_cancer;urology;1;0;7
anterior-fibromuscular-stroma;None;0;0;0
benign-prostate-hypertrophy;None;0;0;0
periprostatic-vein;None;0;0;0
granulomatous-prostatitis;None;0;0;0
acute-bacterial-prostatitis;None;0;0;0
prostatic-abscess;None;0;0;0
ptsd;psychiatry;0;0;0
essential-hypertension;None;0;0;0
hyperthyroidism;None;0;0;0
sepsis;infectious disease;0;9;0
attention_deficit_hyperactivity_disorder_(adhd);psychiatry;1;1;4
autism;None;0;0;0
hearing-problems;None;0;0;0
sleep-disorders;None;0;0;0
sensory-processing-disorder;None;0;0;0
clostridium_difficile;gastroenterology;3;0;3
malabsorption-;None;0;0;0
abdominal-sepsis;None;0;0;0
peritonitis-;None;0;0;0
aortic-valve-insufficiency;None;0;0;0
pseudoaneurysm;None;0;0;0
atrioventricular-block;None;0;0;0
transesophageal-echocardiography-;None;0;0;0
yellow_fever;infectious disease;3;0;1
dengue-fever;infectious disease;0;0;0
viral-hemorrhagic-fevers;None;0;0;0
carcinoid_syndrome_and_carcinoid_tumours;oncology;0;3;0
dementia_with_lewy_bodies;neurology;1;0;0
whooping_cough;GP / pediatry;1;0;4
parainfluenza-;None;0;0;0
respiratory-syncytial-virus;None;0;0;0
enterovirus;None;0;0;0
short-stature;None;0;0;0
paediatric-celiac-disease-sprue-;None;0;0;0
acute-sinusitis;None;0;0;0
primary-ciliary-dyskinesia;None;0;0;0
paediatric-bronchiectasis;None;0;0;0
paediatric-aspergillosis;None;0;0;0
paediatric-asthma;None;0;0;0
sacroiliitis;None;0;0;0
spinal-stenosis;None;0;0;0
hypoglycaemia_(low_blood_sugar);endocrinology;1;1;4
extrahepatic-tumors;None;0;0;0
carcinomas;None;0;0;0
addison-disease;None;0;0;0
glucagon-deficiency;None;0;0;0
social-anxiety-disorder;None;0;0;0
liver_cancer;hepatology;0;1;1
hepatoma;None;0;0;0
head_and_neck_cancer;otolaryngology;1;0;1
sore-throat;None;0;0;0
hyperreactive-airway-disease;None;0;0;0
exercise-induced-asthma;None;0;0;0
bacterial-tracheitis;otolaryngology;0;0;0
ganglion_cyst;orthopedy;1;1;3
pretibial-hematoma;None;0;0;0
pretibial-varices;None;0;0;0
juxtacortical-chondroma;None;0;0;0
soft_tissue_sarcomas;oncology;0;2;2
arteriovenous-malformation-;neurosurgery;0;0;0
morton-s-neuroma;neurosurgery;0;0;0
deep-vein-thrombosis-dvt;None;0;0;0
croup;otolaryngology;1;1;2
neoplasm;None;0;0;0
epiglottitis;None;0;0;0
congenital_heart_disease;cardiology;0;1;3
turner-s-syndrome;None;0;0;0
marfan-s-syndrome;None;0;0;0
down-s-syndrome;None;0;0;0
cold_sore;dermatology;0;0;8
varicella;None;0;0;0
pemphigus-vulgaris;None;0;0;0
herpes-zoster;None;0;0;0
herpes-gestationis;None;0;0;0
aphthous-ulcers;None;0;0;0
acute-paronychia;None;0;0;0
iatrogenic-pelvic-adhesions;None;0;0;0
interstitial-cystitis;None;0;0;0
ovarian-neoplasms;None;0;0;0
chronic_obstructive_pulmonary_disease;pulmonology;1;3;1
obliterative-bronchiolitis;None;0;0;0
wilms’_tumour;None;0;1;0
glandular_fever;infectious disease;0;1;3
viral-pharyngitis-;None;0;0;0
chronic-fatigue;None;0;0;0
diverticular_disease_and_diverticulitis;gastroenterology;0;1;6
ureteral-stone-disease;None;0;0;0
acute-cholecystitis;None;0;1;0
primary-epiploic-appendagitis;None;0;0;0
ovarian-cystic-disease;None;0;0;0
small-bowel-obstruction;None;0;0;0
ileitis;None;0;0;0
angioedema;allergology;0;0;5
parasitic-disease;None;0;0;0
tumour-masses;None;0;0;0
endocrine-associations;None;0;0;0
allergic-contact-dermatitis;None;0;0;0
heart_failure;cardiology;1;4;1
chronic-kidney-disease;nephrology;0;0;0
transthyretin-cardiac-amyloidosis;None;0;0;0
breast_cancer_(male);oncology;1;1;0
personality_disorder;psychiatry;3;0;2
antisocial-personality-disorder;None;0;0;0
psychosis;None;0;0;0
food_poisoning;GP / pediatry;0;1;0
abdominal_aortic_aneurysm;cardiology;0;1;2
renal-colic;None;0;0;0
gastrointestinal-haemorrhage;None;0;0;0
trigeminal_neuralgia;neurology;1;1;3
ear-infections;None;0;0;0
post-herpetic-neuralgia;None;0;0;0
tmj;None;0;0;0
kidney_infection;nephrology;0;0;2
anca-associated-vasculitis;None;0;0;0
chronic-myelomonocytic-leukemia;None;0;0;0
monoclonal-gammopathy;None;0;0;0
behcet-s-disease;None;0;0;0
antiphospholipid-syndrome;None;0;0;0
cryoglobulinemia;None;0;0;0
impetigo;dermatology;2;1;1
cold-sores;None;0;0;0
venous_thromboembolism;hematology;0;1;4
peripheral-artery-disease;None;0;0;0
sciatica;None;0;0;0
superficial-thrombophlebitis;None;0;0;0
varicose-veins;None;0;0;0
babesiosis-;None;0;0;0
epilepsy;neurology;0;0;2
psychogenic-attacks;None;0;0;0
neuroendocrine_tumours;oncology;0;1;2
mastocytosis;None;0;0;0
steatorrhea;None;0;0;0
bunion;orthopedy;2;3;1
sesamoiditis;None;0;0;0
womb_(uterus)_cancer;gynecology;0;0;1
nasopharyngeal_cancer;otolaryngology;0;1;1
otitic-barotrauma;None;0;0;0
vaginal_thrush;gynecology;1;1;1
varicose_eczema;cardiology;0;1;0
threadworms;GP / pediatry;0;1;0
kaposi's_sarcoma;infectious disease;1;0;0
hyperglycaemia_(high_blood_sugar);endocrinology;1;0;4
diabetes-type-2;None;0;0;0
acromegaly;None;0;0;0
diabetes-type-1;None;0;0;0
iatrogenic-;None;0;0;0
neuroblastoma:_children;neurology;0;0;1
gallbladder_cancer;gastroenterology;1;0;0
thyroid_cancer;oncology;0;1;0
mouth_ulcer;dentist;0;0;1
monkeypox;infectious disease;0;1;0
thrush_in_men;urology;0;2;1
malnutrition;gastroenterology;0;1;0
non-alcoholic_fatty_liver_disease_(nafld);hepatology;0;1;0
----
Number of labelled diseases: 363
Number of unlabelled diseases: 538

----
